1 1:-2.0 2:-7.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:-7.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:-5.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:0.0 45:0.0 46:7.0 47:0.0 48:0.0 49:5.0 50:5.0 51:5.0 52:5.0 53:5.0 54:5.0 55:5.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:-7.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:-5.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:0.0 45:0.0 46:7.0 47:0.0 48:0.0 49:5.0 50:5.0 51:5.0 52:5.0 53:5.0 54:5.0 55:5.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:-7.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:-5.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:0.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:5.0 53:5.0 54:5.0 55:0.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
1 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:-7.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:0.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:5.0 53:5.0 54:5.0 55:0.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
1 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:-7.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:0.0 53:5.0 54:5.0 55:0.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
1 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:0.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:-7.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:0.0 53:5.0 54:5.0 55:0.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:3.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:-3.0 7:0.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:-7.0 23:0.0 24:0.0 25:0.0 26:0.0 27:0.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:0.0 53:5.0 54:5.0 55:3.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:0.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:0.0 7:0.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:-7.0 23:0.0 24:0.0 25:0.0 26:0.0 27:-3.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:5.0 52:0.0 53:5.0 54:5.0 55:3.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:0.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:0.0 7:0.0 8:-2.0 9:-5.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:0.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:-7.0 23:0.0 24:0.0 25:0.0 26:0.0 27:-3.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:5.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:0.0 52:0.0 53:5.0 54:5.0 55:3.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:0.0 63:0.0 64:2.0
0 1:-2.0 2:0.0 3:-3.0 4:-13.0 5:-11.0 6:0.0 7:0.0 8:-2.0 9:0.0 10:-5.0 11:-5.0 12:-5.0 13:0.0 14:-5.0 15:-5.0 16:-5.0 17:-5.0 18:0.0 19:-7.0 20:0.0 21:0.0 22:-7.0 23:0.0 24:0.0 25:0.0 26:0.0 27:-3.0 28:0.0 29:-5.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 35:0.0 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:5.0 44:5.0 45:0.0 46:7.0 47:5.0 48:0.0 49:5.0 50:5.0 51:0.0 52:0.0 53:5.0 54:5.0 55:3.0 56:5.0 57:2.0 58:7.0 59:3.0 60:13.0 61:11.0 62:0.0 63:0.0 64:2.0
